Section 368," Wrongfully concealing or keeping in confinement, kidnapped or abducted person",,,
Section 369, Kidnapping or abducting child under ten years with intent to steal from its person,,,
Section 370, Substitution of new sections 370 and 370A for section 370,,,
Section 371, Habitual dealing in slaves,,,
Section 372," Selling minor for purposes of prostitution, etc",,,
Section 373," Buying minor for purposes of prostitution, etc",,,
Section 374, Unlawful compulsory labour,,,
Section 375, Rape,,,
Section 376, Punishment for rape,,,
Section 376A, Intercourse by a man with his wife during separation,,,
Section 376B, Intercourse by public servant with woman is his custody,,,
Section 376C," Intercourse by superintendent of jail, remand home, etc",,,
Section 376D, Intercourse by any member of the management or staff of a hospital with any woman in that hospital,,,
Section 377, Unnatural offences,,,
Section 378, Theft,,,
Section 379, Punishment for theft,,,
Section 380," Theft in dwelling house, etc",,,
Section 382," Theft after preparation made for causing death, hurt or restraint in order to the committing of the theft",,,
Section 383, Extortion,,,
Section 384, Punishment for extortion,,,
Section 385, Putting person in fear of injury in order to commit extortion,,,
Section 386, Extortion by putting a person in fear of death or grievous hurt,,,
Section 387," Putting person in fear of death or of grievous hurt, in order to commit extortion",,,
Section 388," Extortion by threat of accusation of an offence punishable with death or imprisonment for life, etc",,,
Section 389," Putting person in fear of accusation of offence, in order to commit extortion",,,
Section 390, Robbery,,,
Section 391, Dacoity,,,
Section 392, Punishment for robbery,,,
Section 393, Attempt to commit robbery,,,
Section 394, Voluntarily causing hurt in committing robbery,,,
Section 395, Punishment for dacoity,,,
Section 396, Dacoity with murder,,,
Section 397," Robbery, or dacoity, with attempt to cause death or grievous hurt",,,
Section 398, Attempt to commit robbery or dacoity when armed with deadly weapon,,,
Section 399, Making preparation to commit dacoity,,,
Section 400, Punishment for belonging to gang of dacoits,,,
Section 401, Punishment for belonging to gang of thieves,,,
Section 402, Assembling for purpose of committing dacoity,,,
Section 403, Dishonest misappropriation of property,,,
Section 404, Dishonest misappropriation of property possessed by deceased person at the time of his death,,,
Section 405, Criminal breach of trust,,,
Section 406, Punishment for criminal breach of trust,,,
Section 407," Criminal breach of trust by carrier, etc",,,
Section 408, Criminal breach of trust by clerk or servant,,,
Section 409," Criminal breach of trust by public servant, or by banker, merchant or agent",,,
Section 410, Stolen Property,,,
Section 411, Dishonestly receiving stolen property,,,
Section 412, Dishonestly receiving property stolen in the commission of a dacoity,,,
Section 413, Habitually dealing in stolen property,,,
Section 414, Assisting in concealment of stolen property,,,
Section 415, Cheating,,,
Section 416, Cheating by personation,,,
Section 417, Punishment for cheating,,,
Section 418, Cheating with knowledge that wrongful loss may ensue to person whose interest offender is bound to protect,,,
Section 419, Punishment for cheating by personation,,,
Section 420, Cheating and dishonestly inducing delivery of property,,,
Section 421, Dishonest or fraudulent removal or concealment of property to prevent distribution among creditors,,,
Section 422, Dishonestly or fraudulently preventing debt being available for creditors,,,
Section 423, Dishonest or fraudulent execution of deed of transfer containing false statement of consideration,,,
Section 424, Dishonest or fraudulent removal or concealment of property,,,
Section 425, Mischief,,,
Section 426, Punished for mischief,,,
Section 427, Mischief causing damage to the amount of fifty rupees,,,
Section 428, Mischief by killing or maiming animal of the value of ten rupees,,,
Section 429," Mischief by killing or maiming cattle, etc, of any value or any animal of the value of fifty rupees",,,
Section 430, Mischief by injury to works of irrigation or by wrongfully diverting water,,,
Section 431," Mischief by injury to public road, bridge, river or channel",,,
Section 432, Mischief by causing inundation or obstruction to public drainage attended with damage,,,
Section 433," Mischief by destroying, moving or rendering less useful a light-house or sea-mark",,,
Section 434," Mischief by destroying or moving, etc, a land- mark fixed by public authority",,,
Section 435, Mischief by fire or explosive substance with intent to cause damage to amount of one hundred or (in case of agricultural produce) ten rupees,,,
Section 436," Mischief by fire or explosive substance with intent to destroy house, etc",,,
Section 437, Mischief with intent to destroy or make unsafe a decked vessel or one of twenty tons burden,,,
Section 438, Punishment for the mischief described in section 437 committed by fire or explosive substance,,,
Section 439," Punishment for intentionally running vessel aground or ashore with intent to commit theft, etc",,,
Section 440, Mischief committed after preparation made for causing death or hurt,,,
Section 441, Criminal trespass,,,
Section 442, House trespass,,,
Section 443, Lurking house-trespass,,,
Section 444, Lurking house-trespass by night,,,
Section 445, Housing breaking,,,
Section 446, House-breaking by night,,,
Section 447, Punishment for criminal trespass,,,
Section 448, Punishment for house-trespass,,,
Section 449, House-trespass in order to commit offence punishable with death,,,
Section 450, House-trespass in order to commit offence punishable with imprisonment for life,,,
Section 451, House-trespass in order to commit offence punishable with imprisonment,,,
Section 452," House-trespass after preparation for hurt, assault or wrongful restraint",,,
Section 453, Punishment for lurking house-trespass or house-breaking,,,
Section 454, Lurking house-trespass or house-breaking in order to commit offence punishable with imprisonment,,,
Section 455," Lurking house-trespass or house-breaking after preparation for hurt, assault or wrongful restraint",,,
Section 456, Punishment for lurking house-trespass or house-breaking by night,,,
Section 457, Lurking house trespass or house-breaking by night in order to commit offence punishable with imprisonment,,,
Section 458," Lurking house-trespass or house-breaking by night after preparation for hurt, assault, or wrongful restraint",,,
Section 459, Grievous hurt caused whilst committing lurking house trespass or house-breaking,,,
Section 460, All persons jointly concerned in lurking house-trespass or house-breaking by night punishable where death or grievous hurt caused by one of them,,,
Section 461, Dishonestly breaking open receptacle containing property,,,
Section 462, Punishment for same offence when committed by person entrusted with custody,,,
Section463, Forgery,,,
Section 464, Making a false document,,,
Section 465, Punishment for forgery,,,
Section 466," Forgery of record of court or of public register, etc",,,
Section 467," Forgery of valuable security, will, etc",,,
Section 468, Forgery for purpose of cheating,,,
Section 469, Forgery for purpose of harming reputation,,,
Section 470, Forged document or electronic record,,,
Section 471, Using as genuine a forged document or electronic record,,,
Section 472," Making or possessing counterfeit seal, etc, with intent to commit forgery punishable under section 467",,,
Section 473," Making or possessing counterfeit seal, etc, with intent to commit forgery punishable otherwise",,,
Section 474," Having possession of document described in Section 466 or 467, knowing it to be forged and intending to use it as genuine",,,
Section 475," Counterfeiting device or mark used for authenticating documents described in Section 467, or possessing counterfeit marked material",,,
Section 476," Counterfeiting device or mark used for authenticating documents other than those described in section 467, or possessing counterfeit marked material",,,
Section 477," Fraudulent cancellation, destruction, etc, of will, authority to adopt, or valuable security",,,
Section 477A, Falsification of accounts,,,
Section 478, Trade marks,,,
Section 479, Property mark,,,
Section 480, Using a false trade mark,,,
Section 481, Using a false property mark,,,
Section 482, Punishment for using a false property mark,,,
Section 483, Counterfeiting a property mark used by another,,,
